id,name,slug,description,client_id,status,start_date,end_date,project_manager_id,activecollab_id,metadata,created_at,updated_at
6e305856-fa04-44c6-9186-1058bc55e202,Q1 Marketing Campaign,acme-q1-campaign,Comprehensive Q1 2026 marketing campaign,3560cb4b-b576-4196-9918-26476d27d357,active,2025-12-28,2026-04-27,afa2dd3c-4213-4137-a743-12c7c65b4e7d,10001,"{""budget"": 75000}",2025-12-28 08:27:34.694116+00,2025-12-28 08:27:34.694116+00
1c25193b-616f-4bc7-a8f2-b7976faee2ba,Content Marketing Program,cloudfirst-content,Ongoing content marketing and thought leadership program,02d2a550-9c03-4dcc-95ca-5b2288b09aaa,active,2026-01-17,2026-04-27,afa2dd3c-4213-4137-a743-12c7c65b4e7d,10002,"{""budget"": 120000}",2026-01-17 08:27:34.694116+00,2026-01-17 08:27:34.694116+00
f2000000-0000-0000-0000-000000000001,Q1 2026 Marketing Campaign,q1-2026-marketing,Full marketing campaign for Q1 2026,f1000000-0000-0000-0000-000000000001,active,2026-01-01,2026-03-31,afa2dd3c-4213-4137-a743-12c7c65b4e7d,10003,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00
f2000000-0000-0000-0000-000000000002,Brand Refresh,brand-refresh,Complete brand identity refresh,f1000000-0000-0000-0000-000000000002,active,2026-01-15,2026-04-30,afa2dd3c-4213-4137-a743-12c7c65b4e7d,10004,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00
f2000000-0000-0000-0000-000000000003,Social Media Strategy,social-media-strategy,Develop comprehensive social media strategy,f1000000-0000-0000-0000-000000000003,active,2026-02-01,2026-05-31,afa2dd3c-4213-4137-a743-12c7c65b4e7d,10005,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00
f2000000-0000-0000-0000-000000000004,Website Redesign,website-redesign,Full website redesign and development,f1000000-0000-0000-0000-000000000004,on_hold,2026-02-15,2026-06-30,500b4a7f-4c4a-429e-a307-0601568c8525,10006,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00
f2000000-0000-0000-0000-000000000005,Content Marketing Program,content-marketing-program,Ongoing content marketing program,f1000000-0000-0000-0000-000000000005,active,2026-01-01,2026-12-31,afa2dd3c-4213-4137-a743-12c7c65b4e7d,10007,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00
e1000000-0000-0000-0000-000000000001,AI-Powered Lead Generation,ai-lead-generation,Build and launch a full-funnel AI-assisted lead generation system targeting mid-market SaaS buyers.,f1000000-0000-0000-0000-000000000001,in_progress,2026-01-15,2026-06-30,,20001,"{""budget"": 85000, ""deliverables"": [""Landing pages"", ""Email sequences"", ""Ad campaigns""]}",2026-01-16 15:21:06.754546+00,2026-02-28 15:21:06.754546+00
e1000000-0000-0000-0000-000000000002,Q2 Digital Marketing Campaign,q2-digital-campaign,"Multi-channel Q2 campaign across paid social, SEO, and email for brand awareness and conversions.",f1000000-0000-0000-0000-000000000002,planning,2026-04-01,2026-06-30,,20002,"{""budget"": 60000, ""deliverables"": [""Campaign strategy"", ""Creative assets"", ""Analytics setup""]}",2026-02-20 15:21:06.754546+00,2026-03-01 15:21:06.754546+00
e1000000-0000-0000-0000-000000000003,Brand Identity Overhaul,brand-identity-overhaul,"Full rebrand including logo, color system, messaging framework, and brand guidelines document.",f1000000-0000-0000-0000-000000000004,in_progress,2026-02-01,2026-05-31,,20003,"{""budget"": 45000, ""deliverables"": [""Logo suite"", ""Brand guidelines"", ""Tone of voice doc""]}",2026-01-31 15:21:06.754546+00,2026-02-27 15:21:06.754546+00
e1000000-0000-0000-0000-000000000004,Content & SEO Program,content-seo-program,"Ongoing monthly content production: 6 SEO blogs, 12 LinkedIn posts, and keyword tracking.",f1000000-0000-0000-0000-000000000005,in_progress,2026-01-01,2026-12-31,,20004,"{""budget"": 72000, ""deliverables"": [""6 SEO blogs/month"", ""12 LinkedIn posts/month"", ""Monthly report""]}",2026-01-01 15:21:06.754546+00,2026-03-02 15:21:06.754546+00
